sentence,type
"""Back to the North.",未知
"I'm leaving in ten minutes.""",未知
"""Can I come?""",未知
"He stopped what he was doing, and looked at her as if for the first time.",未知
"His daemon turned her great tawny leopard eyes on her too, and under the concentrated gaze of both of them, Lyra blushed.",未知
But she gazed back fiercely.,未知
"""Your place is here,"" said her uncle finally.",未知
"""But why?",未知
Why is my place here?,特殊疑问句
Why can't I come to the North with you?,特殊疑问句
I want to see the Northern Lights and bears and icebergs and everything.,未知
I want to know about Dust.,未知
And that city in the air.,未知
"Is it another world?""",未知
"""You're not coming, child.",未知
Put it out of your head; the times are too dangerous.,未知
"Do as you're told and go to bed, and if you're a good girl, I'll bring you back a walrus tusk with some Eskimo carving on it.",未知
"Don't argue anymore or I shall be angry.""",未知
And his daemon growled with a deep savage rumble that made Lyra suddenly aware of what it would be like to have teeth meeting in her throat.,未知
She compressed her lips and frowned hard at her uncle.,主谓宾
"He was pumping the air from the vacuum flask, and took no notice; it was as if he'd already forgotten her.",未知
"Without a word, but with lips tight and eyes narrowed, the girl and her daemon left and went to bed.",未知
"*	*	*

The Master and the Librarian were old friends and allies, and it was their habit, after a difficult episode, to take a glass of brantwijn and console each other.",未知
"So after they'd seen Lord Asriel away, they strolled to the Master's lodging and settled in his study with the curtains drawn and the fire refreshed, their daemons in their familiar places on knee or shoulder, and prepared to think through what had just happened.",未知
"""Do you really believe he knew about the wine?""",未知
said the Librarian.,未知
"""Of course he did.",未知
"I have no idea how, but he knew, and he spilled the decanter himself.",未知
"Of course he did.""",未知
"""Forgive me, Master, but I can't help being relieved.",未知
"I was never happy about the idea of...""
""Of poisoning him?""",未知
"""Yes.",未知
"Of murder.""",未知
"""Hardly anyone would be happy at that idea, Charles.",未知
The question was whether doing that would be worse than the consequences of not doing it.,未知
"Well, some providence has intervened, and it hasn't happened.",未知
"I'm only sorry I burdened you with the knowledge of it.""",未知
"""No, no,"" protested the Librarian.",未知
"""But I wish you had told me more.",未知
"The Master was silent for a while before saying, ""Yes, perhaps I should have done.",未知
The alethiometer warns of appalling consequences if Lord Asriel pursues this research.,未知
"Apart from anything else, the child will be drawn in, and I want to keep her safe as long as possible.""",未知
"""Is Lord Asriel's business anything to do with this new initiative of the Consistorial Court of Discipline?",未知
"The what-do-they-call-it: the Oblation Board?""",未知
"""Lord Asriel-no, no.",未知
Quite the reverse.,未知
"The Oblation Board isn't entirely answerable to the Consistorial Court, either.",未知
"It's a semiprivate initiative; it's being run by someone
who has no love of Lord Asriel.",未知
"Between them both, Charles, I tremble.""",未知
The Librarian was silent in his turn.,未知
"Ever since Pope John Calvin had moved the seat of the Papacy to Geneva and set up the Consistorial Court of Discipline, the Church's power over every aspect of life had been absolute.",未知
"The Papacy itself had been abolished after Calvin's death, and a tangle of courts, colleges, and councils, collectively known as the Magisterium, had grown up in its place.",未知
These agencies were not always united; sometimes a bitter rivalry grew up between them.,未知
"For a large part of the previous century, the most powerful had been the College of Bishops, but in recent years the Consistorial Court of Discipline had taken its place as the most active and the most feared of all the Church's bodies.",未知
"But it was always possible for independent agencies to grow up under the protection of another part of the Magisterium, and the Oblation Board, which the Librarian had referred to, was one of these.",未知
"The Librarian didn't know much about it, but he disliked and feared what he'd heard, and he completely understood the Master's anxiety.",未知
"""The Palmerian Professor mentioned a name,"" he said after a minute or so.",未知
"""Barnard-Stokes?",未知
"What is the Barnard-Stokes business?""",未知
"""Ah, it's not our field, Charles.",未知
"As I understand it, the Holy Church teaches that there are two worlds: the world of everything we can see and hear and touch, and another world, the spiritual world of heaven and hell.",未知
"Barnard and Stokes were two-how shall I put it-renegade theologians who postulated the existence of numerous other worlds like this one, neither heaven nor hell, but material and sinful.",未知
"They are there, close by, but invisible and unreachable.",未知
"The Holy Church naturally disapproved of this abominable heresy, and Barnard and Stokes were silenced.",未知
"""But unfortunately for the Magisterium there seem to be sound mathematical arguments for this other-world theory.",未知
"I have never followed them myself, but the Cassington Scholar tells me that they are sound.""",未知
"""And now Lord Asriel has taken a picture of one of these other worlds,"" the Librarian said.",未知
"""And we have funded him to go and look for it.",未知
"I see.""",未知
"""Quite.",未知
"It'll seem to the Oblation Board, and to its powerful protectors, that Jordan College is a hotbed of support for heresy.",未知
"And between the Consistorial Court and the Oblation Board, Charles, I have to keep a balance; and meanwhile the child is growing.",未知
They won't have forgotten her.,未知
"Sooner or later she would have become involved, but she'll be drawn in now whether I want to protect her or not.""",未知
"""But how do you know that, for God's sake?",未知
"The alethiometer again?""",未知
"""Yes.",未知
"Lyra has a part to play in all this, and a major one.",未知
The irony is that she must do it all without realizing what she's doing.,未知
"She can be helped, though, and if my plan with the Tokay had succeeded, she would have been safe for a little longer.",未知
I would have liked to spare her a journey to the North.,未知
"I wish above all things that I were able to explain it to her...""
""She wouldn't listen,"" the Librarian said.",未知
"""I know her ways only too well.",未知
Try to tell her anything serious and she'll half-listen for five minutes and then start fidgeting.,未知
"Quiz her about it next time and she'll have completely forgotten.""",未知
"""If I talked to her about Dust?",未知
"You don't think she'd listen to that?""",未知
The Librarian made a noise to indicate how unlikely he thought that was.,未知
"""Why on earth should she?""",未知
he said.,未知
"""Why should a distant theological riddle interest a healthy, thoughtless child?""",未知
"""Because of what she must experience.",未知
"Part of that includes a great betrayal....""
""Who's going to betray her?""",未知
"""No, no, that's the saddest thing: she will be the betrayer, and the experience will be terrible.",未知
"She mustn't know that, of course, but there's no reason for her not to know about the problem of Dust.",未知
"And you might be wrong, Charles; she might well take an interest in it, if it were explained in a simple way.",未知
And it might help her later on.,未知
"It would certainly help me to be less anxious about her.""",未知
"""That's the duty of the old,"" said the Librarian, ""to be anxious on behalf of the young.",未知
"And the duty of the young is to scorn the anxiety of the old.""",未知
"They sat for a while longer, and then parted, for it was late, and they were old and anxious.",未知
"THREE 
LYRA'S JORDAN 




Jordan College was the grandest and richest of all the colleges in Oxford.",未知
"It was probably the largest, too, though no one knew for certain.",未知
"The buildings, which were grouped around three irregular quadrangles, dated from every period from the early Middle Ages to the mid-eighteenth century.",未知
"It had never been planned; it had grown piecemeal, with past and present overlapping at every spot, and the final effect was one of jumbled and squalid grandeur.",未知
"Some part was always about to fall down, and for five generations the same family, the Parslows, had been employed full time by the College as masons and scaffolders.",未知
"The present Mr. Parslow was teaching his son the craft; the two of them and their three workmen would scramble like industrious termites over the scaffolding they'd erected at the corner of the library, or over the roof of the chapel, and haul up bright new blocks of stone or rolls of shiny lead or balks of timber.",未知
The College owned farms and estates all over England.,未知
"It was said that you could walk from Oxford to Bristol in one direction and London in the other, and never leave Jordan land.",未知
"In every part of the kingdom there were dye works and brick kilns, forests and atomcraft works that paid rent to Jordan, and every quarter-day the bursar and his clerks would tot it all up, announce the total to Concilium, and order a pair of swans for the feast.",未知
"Some of the money was put by for reinvestment-Concilium had just approved the purchase of an office block in Manchester-and the rest was used to pay the Scholars' modest stipends and the wages of the servants (and the Parslows, and the other dozen or so families of craftsmen and traders who served the College), to keep the wine cellar richly filled, to buy books and anbarographs for the immense library that filled one side of the Melrose Quadrangle and extended, burrow-like, for several floors beneath the ground, and, not least, to buy the latest philosophical apparatus to equip the chapel.",未知
"It was important to keep the chapel up to date, because Jordan College had no rival, either in Europe or in New France, as a center of experimental theology.",未知
"Lyra knew that much, at least.",未知
"She was proud of her College's eminence, and liked to boast of it to the various urchins and ragamuffins she played with by the canal or the claybeds; and she regarded visiting Scholars and eminent professors from elsewhere with pitying scorn, because they didn't belong to Jordan and so must know less, poor things, than the humblest of Jordan's under-Scholars.",主谓宾
"As for what experimental theology was, Lyra had no more idea than the urchins.",未知
"She had formed the notion that it was concerned with magic, with the movements of the stars and planets, with tiny particles of matter, but that was guesswork, really.",未知
"Probably the stars had daemons just as humans did, and experimental theology involved talking to them.",未知
"Lyra imagined the Chaplain speaking loftily, listening to the star daemons' remarks, and then nodding judiciously or shaking his head in regret.",未知
"But what might be passing between them, she couldn't conceive.",未知
Nor was she particularly interested.,未知
In many ways Lyra was a barbarian.,未知
"What she liked best was clambering over the College roofs with Roger, the kitchen boy who was her particular friend, to spit plum stones on the heads of passing Scholars or to hoot like owls outside a window where a tutorial was going on, or racing through the narrow streets, or stealing apples from the market, or waging war.",未知
"Just as she was unaware of the hidden currents of politics running below the surface of College affairs, so the Scholars, for their part, would have been unable to see the rich seething stew of alliances and enmities and feuds and treaties which was a child's life in Oxford.",未知
Children playing together: how pleasant to see!,未知
What could be more innocent and charming?,特殊疑问句
"In fact, of course, Lyra and her peers were engaged in deadly warfare.",未知
There were several wars running at once.,there be句型
"The children (young servants, and the children of servants, and Lyra) of one college waged war on those of another.",未知
"Lyra had once been captured by the children of Gabriel College, and Roger and their friends Hugh Lovat and Simon Parslow had raided the place to rescue her, creeping through the Precentor's garden and gathering armfuls of small stone-hard plums to throw at the kidnappers.",未知
"There were twenty-four colleges, which allowed for endless permutations of alliance and betrayal.",there be句型
"But the enmity between the colleges was forgotten in a moment when the town children attacked a colleger: then all the collegers banded together and went into battle against the town-ies.This rivalry was hundreds of years old, and very deep and satisfying.",未知
But even this was forgotten when the other enemies threatened.,未知
"One enemy was perennial: the brickburners' children, who lived by the claybeds and were despised by collegers and townies alike.",未知
"Last year Lyra and some townies had made a temporary truce and raided the claybeds, pelting the brick-burners' children with lumps of heavy clay and tipping over the soggy castle they'd built, before rolling them over and over in the clinging substance they lived by until victors and vanquished alike resembled a flock of shrieking golems.",未知
The other regular enemy was seasonal.,未知
"The gyptian families, who lived in canal boats, came and went with the spring and autumn fairs, and were always good for a fight.",未知
"There was one family of gyptians in particular, who regularly returned to their mooring in that part of the city known as Jericho, with whom Lyra'd been feuding ever since she could first throw a stone.",there be句型
"When they were last in Oxford, she and Roger and some of the other kitchen boys from Jordan and St. Michael's College had laid an ambush for them, throwing mud at their brightly painted narrowboat until the whole family came out to chase them away-at which point the reserve squad under Lyra raided the boat and cast it off from the bank, to float down the canal, getting in the way of all the other water traffic while Lyra's raiders searched the boat from end to end, looking for the bung.",未知
Lyra firmly believed in this bung.,未知
"If they pulled it out, she assured her troop, the boat would sink at once; but they didn't find it, and had to abandon ship when the gyptians caught them up, to flee dripping and crowing with triumph through the narrow lanes of Jericho.",未知
That was Lyra's world and her delight.,未知
"She was a coarse and greedy little savage, for the most part.",未知
But she always had a dim sense that it wasn't her whole world; that part of her also belonged in the grandeur and ritual of Jordan College; and that somewhere in her life there was a connection with the high world of politics represented by Lord Asriel.,未知
All she did with that knowledge was to give herself airs and lord it over the other urchins.,未知
It had never occurred to her to find out more.,未知
"So she had passed her childhood, like a half-wild cat.",未知
The only variation in her days came on those irregular occasions when Lord Asriel visited the College.,未知
"A rich and powerful uncle was all very well to boast about, but the price of boasting was having to be caught by the most agile Scholar and brought to the Housekeeper to be washed and dressed in a clean frock, following which she was escorted (with many threats) to the Senior Common Room to have tea with Lord Asriel and an invited group of senior Scholars.",未知
She dreaded being seen by Roger.,未知
He'd caught sight of her on one of these occasions and hooted with laughter at this beribboned and pink-frilled vision.,未知
"She had responded with a volley of shrieking curses that shocked the poor Scholar who was escorting her, and in the Senior Common Room she'd slumped mutinously in an armchair until the Master told her sharply to sit up, and then she'd glowered at them all till even the Chaplain had to laugh.",未知
"What happened on those awkward, formal visits never varied.",未知
"After the tea, the Master and the other few Scholars who'd been invited left Lyra and her uncle together, and he called her to stand in front of him and tell him what she'd learned since his last visit.",未知
"And she would mutter whatever she could dredge up about geometry or Arabic or history or anbarology, and he would sit back with one ankle resting on the other knee and watch her inscrutably until her words failed.",未知
"Last year, before his expedition to the North, he'd gone on to say, ""And how do you spend your time when you're not diligently studying?""",未知
"And she mumbled, ""I just play.",未知
Sort of around the College.,未知
"Just...play, really.""",未知
"And he said, ""Let me see your hands, child.""",未知
"She held out her hands for inspection, and he took them and turned them over to look at her fingernails.",未知
"Beside him, his daemon lay sphinxlike on the carpet, swishing her tail occasionally and gazing unblinkingly at Lyra.",未知
"""Dirty,"" said Lord Asriel, pushing her hands away.",未知
"""Don't they make you wash in this place?""",未知
"""Yes,"" she said.",未知
"""But the Chaplain's fingernails are always dirty.",未知
"They're even dirtier than mine.""",未知
"""He's a learned man.",未知
"What's your excuse?""",未知
"""I must've got them dirty after I washed.""",未知
"""Where do you play to get so dirty?""",未知
She looked at him suspiciously.,未知
"She had the feeling that being on the roof was forbidden, though no one had actually said so.",未知
"""In some of the old rooms,"" she said finally.",未知
"""And where else?""",未知
"""In the claybeds, sometimes.""",未知
"""And?""",未知
"""Jericho and Port Meadow.""",未知
"""Nowhere else?""",未知
"""No.""",未知
"""You're a liar.",未知
"I saw you on the roof only yesterday.""",未知
She bit her lip and said nothing.,主谓宾
He was watching her sardonically.,未知
"""So, you play on the roof as well,"" he went on.",未知
"""Do you ever go into the library?""",未知
"""No.",未知
"I found a rook on the library roof, though,"" she went on.",未知
"""Did you?",未知
"Did you catch it?""",未知
"""It had a hurt foot.",未知
I was going to kill it and roast it but Roger said we should help it get better.,未知
"So we gave it scraps of food and some wine and then it got better and flew away.""",未知
"""Who's Roger?""",未知
"""My friend.",未知
"The kitchen boy.""",未知
"""I see.",未知
"So you've been all over the roof-""
""Not all over.",未知
You can't get onto the Sheldon Building because you have to jump up from Pilgrim's Tower across a gap.,未知
"There's a skylight that opens onto it, but I'm not tall enough to reach it.""",未知
"""You've been all over the roof except the Sheldon Building.",未知
"What about underground?""",未知
"""Underground?""",未知
"""There's as much College below ground as there is above it.",未知
I'm surprised you haven't found that out.,未知
"Well, I'm going in a minute.",未知
You look healthy enough.,未知
"Here.""",未知
"He fished in his pocket and drew out a handful of coins, from which he gave her five gold dollars.",未知
"""Haven't they taught you to say thank you?""",未知
he said.,未知
"""Thank you,"" she mumbled.",未知
"""Do you obey the Master?""",未知
"""Oh, yes.""",未知
"""And respect the Scholars?""",未知
"""Yes.""",未知
Lord Asriel's daemon laughed softly.,未知
"It was the first sound she'd made, and Lyra blushed.",未知
"""Go and play, then,"" said Lord Asriel.",未知
"Lyra turned and darted to the door with relief, remembering to turn and blurt out a ""Goodbye.""",未知
"So Lyra's life had been, before the day when she decided to hide in the Retiring Room, and first heard about Dust.",未知
And of course the Librarian was wrong in saying to the Master that she wouldn't have been interested.,未知
She would have listened eagerly now to anyone who could tell her about Dust.,未知
"She was to hear a great deal more about it in the months to come, and eventually she would know more about Dust than anyone in the world; but in the meantime, there was all the rich life of Jordan still being lived around her.",未知
And in any case there was something else to think about.,未知
"A rumor had been filtering through the streets for some weeks: a rumor that made some people laugh and others grow silent, as some people scoff at ghosts and others fear them.",未知
"For no reason that anyone could imagine, children were beginning to disappear.",未知
"*	*	*

It would happen like this.",未知
"East along the great highway of the River Isis, thronged with slow-moving brick barges and asphalt boats and corn tankers, way down past Henley and Maidenhead to Teddington, where the tide from the German Ocean reaches, and further down still: to Mortlake, past the house of the great magician Dr. Dee; past Falkeshall, where the pleasure gardens spread out bright with fountains and banners by day, with tree lamps and fireworks by night; past White Hall Palace, where the king holds his weekly council of state; past the Shot Tower, dropping its endless drizzle of molten lead into vats of murky water; further down still, to where the river, wide and filthy now, swings in a great curve to the south.",未知
"This is Limehouse, and here is the child who is going to disappear.",未知
He is called Tony Makarios.,未知
"His mother thinks he's nine years old, but she has a poor memory that the drink has rotted; he might be eight, or ten.",未知
"His surname is Greek, but like his age, that is a guess on his mother's part, because he looks more Chinese than Greek, and there's Irish and Skraeling and Lascar in him from his mother's side too.",未知
"Tony's not very bright, but he has a sort of clumsy tenderness that sometimes prompts him to give his mother a rough hug and plant a sticky kiss on her cheeks.",未知
"The poor woman is usually too fuddled to start such a procedure herself; but she responds warmly enough, once she realizes what's happening.",未知
At the moment Tony is hanging about the market in Pie Street.,未知
He's hungry.,未知
"It's early evening, and he won't get fed at home.",未知
"He's got a shilling in his pocket that a soldier gave him for taking a message to his best girl, but Tony's not going to waste that on food, when you can pick up so much for nothing.",未知
"So he wanders through the market, between the old-clothes stalls and the fortune-paper stalls, the fruitmongers and the fried-fish seller, with his little daemon on his shoulder, a sparrow, watching this way and that; and when a stall holder and her daemon are both looking elsewhere, a brisk chirp sounds, and Tony's hand shoots out and returns to his loose shirt with an apple or a couple of nuts, and finally with a hot pie.",未知
"The stall holder sees that, and shouts, and her cat daemon leaps, but Tony's sparrow is aloft and Tony himself halfway down the street already.",未知
"Curses and abuse go with him, but not far.",未知
"He stops running at the steps of St. Catherine's Oratory, where he sits down and takes out his steaming, battered prize, leaving a trail of gravy on his shirt.",未知
And he's being watched.,未知
"A lady in a long yellow-red fox-fur coat, a beautiful young lady whose dark hair falls, shining delicately, under the shadow of her fur-lined hood, is standing in the doorway of the oratory, half a dozen steps above him.",未知
"It might be that a service is finishing, for light comes from the doorway behind her, an organ is playing inside, and the lady is holding a jeweled breviary.",未知
Tony knows nothing of this.,主谓宾
"His face contentedly deep in the pie, his toes curled inward and his bare soles together, he sits and chews and swallows while his daemon becomes a mouse and grooms her whiskers.",未知
The young lady's daemon is moving out from beside the fox-fur coat.,未知
"He is in the form of a monkey, but no ordinary monkey: his fur is long and silky and of the most deep and lustrous gold.",未知
"With sinuous movements he inches down the steps toward the boy, and sits a step above him.",未知
"Then the mouse senses something, and becomes a sparrow again, cocking her head a fraction sideways, and hops along the stone a step or two.",未知
The monkey watches the sparrow; the sparrow watches the monkey.,未知
The monkey reaches out slowly.,未知
"His little hand is black, his nails perfect horny claws, his movements gentle and inviting.",未知
The sparrow can't resist.,未知
"She hops further, and further, and then, with a little flutter, up on to the monkey's hand.",未知
"The monkey lifts her up, and gazes closely at her before standing and swinging back to his human, taking the sparrow daemon with him.",未知
The lady bends her scented head to whisper.,未知
And then Tony turns.,未知
He can't help it.,未知
"""Ratter!""",未知
"he says, half in alarm, his mouth full.",未知
The sparrow chirps.,未知
It must be safe.,未知
Tony swallows his mouthful and stares.,主谓宾
"""Hello,"" says the beautiful lady.",未知
"""What's your name?""",未知
"""Tony.""",未知
"""Where do you live, Tony?""",未知
"""Clarice Walk.""",未知
"""What's in that pie?""",未知
"""Beefsteak.""",未知
"""Do you like chocolatl?""",未知
"""Yeah!""",未知
"""As it happens, I've got more chocolatl than I can drink myself.",未知
"Will you come and help me drink it?""",未知
He's lost already.,未知
He was lost the moment his slow-witted daemon hopped onto the monkey's hand.,未知
"He follows the beautiful young lady and the golden monkey down Denmark Street and along to Hangman's Wharf, and down King George's Steps to a little green door in the side of a tall warehouse.",未知
"She knocks, the door is opened, they go in, the door is closed.",未知
"Tony will never come out-at least, by that entrance; and he'll never see his mother again.",未知
"She, poor drunken thing, will think he's run away, and when she remembers him, she'll think it was her fault, and sob her sorry heart out.",未知
"*	*	*

Little Tony Makarios wasn't the only child to be caught by the lady with the golden monkey.",未知
"He found a dozen others in the cellar of the warehouse, boys and girls, none older than twelve or so; though since all of them had histories like his, none could be sure of their age.",未知
"What Tony didn't notice, of course, was the factor that they all had in common.",未知
None of the children in that warm and steamy cellar had reached the age of puberty.,未知
"The kind lady saw him settled on a bench against the wall, and provided by a silent serving woman with a mug of chocolatl from the saucepan on the iron stove.",未知
"Tony ate the rest of his pie and drank the sweet hot liquor without taking much notice of his surroundings, and the surroundings took little notice of him: he was too small to be a threat, and too stolid to promise much satisfaction as a victim.",未知
It was another boy who asked the obvious question.,未知
"""Hey, lady!",未知
"What you got us all here for?""",未知
He was a tough-looking wretch with dark chocolatl on his top lip and a gaunt black rat for a daemon.,未知
"The lady was standing near the door, talking to a stout man with the air of a sea captain, and as she turned to answer, she looked so angelic in the hissing naphtha light that all the children fell silent.",未知
"""We want your help,"" she said.",未知
"""You don't mind helping us, do you?""",未知
No one could say a word.,未知
"They all gazed, suddenly shy.",未知
"They had never seen a lady like this; she was so gracious and sweet and kind that they felt they hardly deserved their good luck, and whatever she asked, they'd give it gladly so as to stay in her presence a little longer.",未知
She told them that they were going on a voyage.,主谓宾
"They would be well fed and warmly clothed, and those who wanted to could send messages back to their families to let them know they were safe.",未知
"Captain Magnusson would take them on board his ship very soon, and then when the tide was right, they'd sail out to sea and set a course for the North.",未知
"Soon those few who did want to send a message to what-ever home they had were sitting around the beautiful lady as she wrote a few lines at their dictation and, having let them scratch a clumsy X at the foot of the page, folded it into a scented envelope and wrote the address they told her.",未知
"Tony would have liked to send something to his mother, but he had a realistic idea of her ability to read it.",未知
"He plucked at the lady's fox-fur sleeve and whispered that he'd like her to tell his mum where he was going, and all, and she bent her gracious head close enough to his malodorous little body to hear, and stroked his head and promised to pass the message on.",未知
Then the children clustered around to say goodbye.,未知
"The golden monkey stroked all their daemons, and they all touched the fox fur for luck, or as if they were drawing some strength or hope or goodness out of the lady, and she bade them all farewell and saw them in the care of the bold captain on board a steam launch at the jetty.",未知
"The sky was dark now, the river a mass of bobbing lights.",未知
The lady stood on the jetty and waved till she could see their faces no more.,未知
"Then she turned back inside, with the golden monkey nestled in her breast, and threw the little bundle of letters into the furnace before leaving the way she had come.",未知
"Children from the slums were easy enough to entice away, but eventually people noticed, and the police were stirred into reluctant action.",未知
For a while there were no more bewitchings.,未知
"But a rumor had been born, and little by little it changed and grew and spread, and when after a while a few children disappeared in Norwich, and then Sheffield, and then Manchester, the people in those places who'd heard of the disappearances elsewhere added the new vanishings to the story and gave it new strength.",未知
And so the legend grew of a mysterious group of enchanters who spirited children away.,未知
"Some said their leader was a beautiful lady, others said a tall man with red eyes, while a third story told of a youth who laughed and sang to his victims so that they followed him like sheep.",未知
"As for where they took these lost children, no two stories agreed.",未知
"Some said it was to Hell, under the ground, to Fairyland.",未知
Others said to a farm where the children were kept and fattened for the table.,未知
Others said that the children were kept and sold as slaves to rich Tartars....And so on.,未知
But one thing on which everyone agreed was the name of these invisible kidnappers.,未知
"They had to have a name, or not be referred to at all, and talking about them-especially if you were safe and snug at home, or in Jordan College-was delicious.",未知
"And the name that seemed to settle on them, without anyone's knowing why, was the Gobblers.",未知
"""Don't stay out late, or the Gobblers'11 get you!""",未知
"""My cousin in Northampton, she knows a woman whose little boy was took by the Gobblers....""
""The Gobblers've been in Stratford.",未知
"They say they're coming south!""",未知
"And, inevitably:
""Let's play kids and Gobblers!""",未知
"So said Lyra to Roger, one rainy afternoon when they were alone in the dusty attics.",未知
He was her devoted slave by this time; he would have followed her to the ends of the earth.,主谓宾
"""How d'you play that?""",未知
"""You hide and I find you and slice you open, right, like the Gobblers do.""",未知
"""You don't know what they do.",未知
"They might not do that at all.""",未知
"""You're afraid of 'em,"" she said.",未知
"""I can tell.""",未知
"""I en't.",未知
"I don't believe in 'em anyway.""",未知
"""I do,"" she said decisively.",未知
"""But I en't afraid either.",未知
I'd just do what my uncle done last time he came to Jordan.,未知
I seen him.,未知
"He was in the Retiring Room and there was this guest who weren't polite, and my uncle just give him a hard look and the man fell dead on the spot, with all foam and froth round his mouth.""",未知
"""He never,"" said Roger doubtfully.",未知
"""They never said anything about that in the kitchen.",未知
"Anyway, you en't allowed in the Retiring Room.""",未知
"'""Course not.",未知
They wouldn't tell servants about a thing like that.,未知
"And I have been in the Retiring Room, so there.",未知
"Anyway, my uncle's always doing that.",未知
He done it to some Tartars when they caught him once.,未知
"They tied him up and they was going to cut his guts out, but when the first man come up with the knife, my uncle just looked at him, and he fell dead, so another one come up and he done the same to him, and finally there was only one left.",主谓宾
"My uncle said he'd leave him alive if he untied him, so he did, and then my uncle killed him anyway just to teach him a lesson.""",未知
"Roger was less sure about that than about Gobblers, but the story was too good to waste, so they took it in turns to be Lord Asriel and the expiring Tartars, using sherbet dip for the foam.",未知
"However, that was a distraction; Lyra was still intent on playing Gobblers, and she inveigled Roger down into the wine cellars, which they entered by means of the Butler's spare set of keys.",未知
"Together they crept through the great vaults where the College's Tokay and Canary, its Burgundy, its brantwijn were lying under the cobwebs of ages.",未知
"Ancient stone arches rose above them supported by pillars as thick as ten trees, irregular flagstones lay underfoot, and on all sides were ranged rack upon rack, tier upon tier, of bottles and barrels.",未知
It was fascinating.,未知
"With Gobblers forgotten again, the two children tiptoed from end to end holding a candle in trembling fingers, peering into every dark corner, with a single question growing more urgent in Lyra's mind every moment: what did the wine taste like?",未知
There was an easy way of answering that.,there be句型
"Lyra-over Roger's fervent protests-picked out the oldest, twistiest, greenest bottle she could find, and, not having anything to extract the cork with, broke it off at the neck.",未知
"Huddled in the furthest corner, they sipped at the heady crimson liquor, wondering when they'd become drunk, and how they'd tell when they were.",未知
"Lyra didn't like the taste much, but she had to admit how grand and complicated it was.",未知
"The funniest thing was watching their two daemons, who seemed to be getting more and more muddled: falling over, giggling senselessly, and changing shape to look like gargoyles, each trying to be uglier than the other.",未知
"Finally, and almost simultaneously, the children discovered what it was like to be drunk.",未知
"""Do they like doing this?""",未知
"gasped Roger, after vomiting copiously.",未知
"""Yes,"" said Lyra, in the same condition.",未知
"""And so do I,"" she added stubbornly.",未知
Lyra learned nothing from that episode except that playing Gobblers led to interesting places.,主谓宾
"She remembered her uncle's words in their last interview, and began to explore underground, for what was above ground was only a small fraction of the whole.",主谓宾
"Like some enormous fungus whose root system extended over acres, Jordan (finding itself jostling for space above ground with St. Michael's College on one side, Gabriel College on the other, and the University Library behind) had begun, sometime in the Middle Ages, to spread below the surface.",未知
"Tunnels, shafts, vaults, cellars, staircases had so hollowed out the earth below Jordan and for several hundred yards around it that there was almost as much air below ground as above; Jordan College stood on a sort of froth of stone.",未知
"And now that Lyra had the taste for exploring it, she abandoned her usual haunt, the irregular alps of the College roofs, and plunged with Roger into this netherworld.",未知
"From playing at Gobblers she had turned to hunting them, for what could be more likely than that they were lurking out of sight below the ground?",未知
So one day she and Roger made their way into the crypt below the oratory.,未知
"This was where generations of Masters had been buried, each in his lead-lined oak coffin in niches along the stone walls.",未知
"A stone tablet below each space gave their names:

SIMON LE CLERC, MASTER 1765-1789 CEREBATON 
REQUIESCANT IN PACE


""What's that mean?""",未知
said Roger.,未知
"""The first part's his name, and the last bit's Roman.",未知
And there's the dates in the middle when he was Master.,未知
"And the other name must be his daemon.""",未知
"They moved along the silent vault, tracing the letters of more inscriptions:

FRANCIS LYALL, MASTER 1748-1765   ZOHARIEL
REQUIESCANT IN PACE

ICNATIUS COLE, MASTER 1745-1748  MUSCA
REQUIESCANT IN PACE

On each coffin, Lyra was interested to see, a brass plaque bore a picture of a different being: this one a basilisk, this a serpent, this a monkey.",未知
She realized that they were images of the dead men's daemons.,未知
"As people became adult, their daemons lost the power to change and assumed one shape, keeping it permanently.",未知
"""These coffins' ve got skeletons in ""em!""",未知
whispered Roger.,未知
"""Moldering flesh,"" whispered Lyra.",未知
"""And worms and maggots all twisting about in their eye sockets.""",未知
"""Must be ghosts down here,"" said Roger, shivering pleasantly.",未知
Beyond the first crypt they found a passage lined with stone shelves.,未知
"Each shelf was partitioned off into square sections, and in each section rested a skull.",未知
"Roger's daemon, tail tucked firmly between her legs, shivered against him and gave a little quiet howl.",未知
"""Hush,"" he said.",未知
"Lyra couldn't see Pantalaimon, but she knew his moth form was resting on her shoulder and probably shivering too.",未知
She reached up and lifted the nearest skull gently out of its resting place.,未知
"""What you doing?""",未知
said Roger.,未知
"""You en't supposed to touch em.""",未知
"She turned it over and over, taking no notice.",主谓宾
"Something suddenly fell out of the hole at the base of the skull - fell through her fingers and rang as it hit the floor, and she nearly dropped the skull in alarm.",未知
"""It's a coin!""",未知
"said Roger, feeling for it.",未知
"""Might be treasure!""",未知
He held it up to the candle and they both gazed wide-eyed.,主谓宾
"It was not a coin, but a little disc of bronze with a crudely engraved inscription showing a cat.",未知
"""It's like the ones on the coffins,"" said Lyra.",未知
"""It's his daemon.",未知
"Must be.""",未知
"""Better put it back,"" said Roger uneasily, and Lyra upturned the skull and dropped the disk back into its immemorial resting place before returning the skull to the shelf.",未知
"Each of the other skulls, they found, had its own daemon-coin, showing its owner's lifetime companion still close to him in death.",未知
"""Who d'you think these were when they were alive?""",未知
said Lyra.,未知
